BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13,park,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417
14,park,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008
15,park,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.067903515,0.070057944,0.072212373,0.074366802,0.076521231,0.07867566,0.080830088,0.082984517,0.085138946,0.087293375,0.089447804,0.091602233,0.093756662,0.095911091,0.09806552,0.100219949,0.102374378,0.104528807,0.106683235,0.108837664,0.110992093,0.113146522,0.115300951,0.11745538,0.119609809
16,park,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564
17,park,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685
18,park,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629
19,park,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532
20,park,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111983029,0.112300812,0.112618594,0.112936377,0.113254159,0.113571942,0.113889724,0.114207507,0.114525289,0.114843072,0.115160854,0.115478637,0.115796419,0.116114202,0.116431984,0.116749767,0.117067549,0.117385332,0.117703114,0.118020897,0.118338679,0.118656462,0.118974244,0.119292027,0.119609809
21,park,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076
22,park,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934
23,park,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006
