BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13,park,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417
14,park,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008
15,park,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086
16,park,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564
17,park,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685
18,park,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629
19,park,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532
20,park,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247
21,park,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076
22,park,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934
23,park,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006
