BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
23,pedestz,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,1.86E-03,3.20E-03,4.53E-03,5.86E-03,7.20E-03,8.53E-03,9.86E-03,1.12E-02,1.25E-02,1.39E-02,1.52E-02,1.65E-02,1.79E-02,1.92E-02,2.05E-02,2.19E-02,2.32E-02,2.45E-02,2.59E-02,2.72E-02,2.85E-02,2.99E-02,3.12E-02,3.25E-02,3.39E-02,3.52E-02,3.65E-02,3.79E-02,3.92E-02,4.05E-02,4.19E-02,4.32E-02,4.45E-02,4.59E-02,4.72E-02
1,park,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809
2,park,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977
3,park,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.093225331,0.094001345,0.094777359,0.095553373,0.096329387,0.097105401,0.097881415,0.098657429,0.099433444,0.100209458,0.100985472,0.101761486,0.1025375,0.103313514,0.104089528,0.104865542,0.105641556,0.10641757,0.107193584,0.107969598,0.108745612,0.109521626,0.11029764,0.111073654,0.111849668,0.112625682,0.113401697,0.114177711,0.114953725,0.115729739,0.116505753,0.117281767,0.118057781,0.118833795,0.119609809
4,park,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.065212691,0.066812606,0.068412522,0.070012437,0.071612352,0.073212267,0.074812183,0.076412098,0.078012013,0.079611928,0.081211844,0.082811759,0.084411674,0.086011589,0.087611504,0.08921142,0.090811335,0.09241125,0.094011165,0.095611081,0.097210996,0.098810911,0.100410826,0.102010741,0.103610657,0.105210572,0.106810487,0.108410402,0.110010318,0.111610233,0.113210148,0.114810063,0.116409979,0.118009894,0.119609809
5,park,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.05433618,0.056255992,0.058175805,0.060095618,0.06201543,0.063935243,0.065855055,0.067774868,0.069694681,0.071614493,0.073534306,0.075454119,0.077373931,0.079293744,0.081213556,0.083133369,0.085053182,0.086972994,0.088892807,0.09081262,0.092732432,0.094652245,0.096572057,0.09849187,0.100411683,0.102331495,0.104251308,0.106171121,0.108090933,0.110010746,0.111930558,0.113850371,0.115770184,0.117689996,0.119609809
6,park,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.038927169,0.041300188,0.043673206,0.046046225,0.048419244,0.050792263,0.053165282,0.055538301,0.057911319,0.060284338,0.062657357,0.065030376,0.067403395,0.069776414,0.072149432,0.074522451,0.07689547,0.079268489,0.081641508,0.084014527,0.086387545,0.088760564,0.091133583,0.093506602,0.095879621,0.09825264,0.100625658,0.102998677,0.105371696,0.107744715,0.110117734,0.112490753,0.114863771,0.11723679,0.119609809
7,park,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.040505099,0.042831708,0.045158317,0.047484926,0.049811536,0.052138145,0.054464754,0.056791363,0.059117972,0.061444581,0.06377119,0.066097799,0.068424408,0.070751018,0.073077627,0.075404236,0.077730845,0.080057454,0.082384063,0.084710672,0.087037281,0.089363891,0.0916905,0.094017109,0.096343718,0.098670327,0.100996936,0.103323545,0.105650154,0.107976763,0.110303373,0.112629982,0.114956591,0.1172832,0.119609809
8,park,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.035337397,0.037815998,0.040294598,0.042773198,0.045251799,0.047730399,0.050208999,0.0526876,0.0551662,0.0576448,0.060123401,0.062602001,0.065080601,0.067559202,0.070037802,0.072516402,0.074995003,0.077473603,0.079952204,0.082430804,0.084909404,0.087388005,0.089866605,0.092345205,0.094823806,0.097302406,0.099781006,0.102259607,0.104738207,0.107216807,0.109695408,0.112174008,0.114652608,0.117131209,0.119609809
9,park,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.084530949,0.08556268,0.086594412,0.087626143,0.088657874,0.089689605,0.090721336,0.091753067,0.092784799,0.09381653,0.094848261,0.095879992,0.096911723,0.097943454,0.098975186,0.100006917,0.101038648,0.102070379,0.10310211,0.104133841,0.105165573,0.106197304,0.107229035,0.108260766,0.109292497,0.110324228,0.11135596,0.112387691,0.113419422,0.114451153,0.115482884,0.116514615,0.117546347,0.118578078,0.119609809
10,park,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335
11,park,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.078909494,0.080106562,0.08130363,0.082500698,0.083697766,0.084894835,0.086091903,0.087288971,0.088486039,0.089683107,0.090880175,0.092077243,0.093274311,0.094471379,0.095668447,0.096865515,0.098062583,0.099259652,0.10045672,0.101653788,0.102850856,0.104047924,0.105244992,0.10644206,0.107639128,0.108836196,0.110033264,0.111230332,0.1124274,0.113624469,0.114821537,0.116018605,0.117215673,0.118412741,0.119609809
12,park,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.040581634,0.042905992,0.04523035,0.047554708,0.049879066,0.052203425,0.054527783,0.056852141,0.059176499,0.061500857,0.063825215,0.066149573,0.068473931,0.070798289,0.073122647,0.075447005,0.077771363,0.080095722,0.08242008,0.084744438,0.087068796,0.089393154,0.091717512,0.09404187,0.096366228,0.098690586,0.101014944,0.103339302,0.10566366,0.107988019,0.110312377,0.112636735,0.114961093,0.117285451,0.119609809
13,park,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417,0.651564417
14,park,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008,0.569925008
15,park,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.065749086,0.067287964,0.068826842,0.070365719,0.071904597,0.073443475,0.074982353,0.076521231,0.078060108,0.079598986,0.081137864,0.082676742,0.08421562,0.085754497,0.087293375,0.088832253,0.090371131,0.091910009,0.093448886,0.094987764,0.096526642,0.09806552,0.099604398,0.101143275,0.102682153,0.104221031,0.105759909,0.107298787,0.108837664,0.110376542,0.11191542,0.113454298,0.114993176,0.116532053,0.118070931,0.119609809
16,park,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564,0.191039564
17,park,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685,0.465025685
18,park,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629,0.210942629
19,park,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532,0.339351532
20,park,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111665247,0.111892234,0.112119222,0.112346209,0.112573197,0.112800184,0.113027172,0.113254159,0.113481147,0.113708134,0.113935122,0.114162109,0.114389097,0.114616084,0.114843072,0.115070059,0.115297047,0.115524034,0.115751022,0.115978009,0.116204997,0.116431984,0.116658972,0.116885959,0.117112947,0.117339934,0.117566922,0.117793909,0.118020897,0.118247884,0.118474872,0.118701859,0.118928847,0.119155834,0.119382822,0.119609809
21,park,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076,0.168296076
22,park,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934,0.335745934
23,park,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006,0.22972006
